,Unnamed: 0,unixepoch,pid,g_x,g_y,Rstep_len,Rstep,x_SG,y_SG,vx_SG,vy_SG,ng_x,ng_y,mov_x,mov_y,m_mov_x,m_mov_y,tL_x,tL_y,validTransition,K
163088,103106,1510231199178.0,13108494,64,45,204,59,64.27167780046815,45.03506763949225,0.9659185524557504,0.4087283727935961,65.0,45.0,1,0,2,1,1,0,True,1
163100,103107,1510231199278.0,13108494,65,45,204,60,65.28526264654555,45.45596245492276,0.9787696094582188,0.4147198352976714,67.0,46.0,1,1,2,0,2,1,False,5
163101,103108,1510231199377.0,13108494,67,46,204,61,66.20626049767965,45.99893594729744,0.9876860501162016,0.4224436493803108,68.0,47.0,1,1,2,0,1,1,True,5
163115,103109,1510231199476.0,13108494,68,47,204,62,67.22118198224625,46.39752879648336,0.9900307387766708,0.4262438777554984,68.0,47.0,0,0,1,1,0,0,True,0
163118,103110,1510231199575.0,13108494,68,47,204,63,68.27044647602422,46.75966162410663,0.9873895787361456,0.429702414526225,68.0,47.0,0,0,1,1,0,0,True,0
163129,103111,1510231199675.0,13108494,68,47,204,64,69.24317220025418,47.10563708695945,0.9818343572787436,0.4304006986274092,70.0,48.0,1,1,2,0,2,1,False,5
163138,103112,1510231199774.0,13108494,70,48,204,65,70.19481434722229,47.57664090512403,0.9719150481455574,0.4267603783438114,71.0,48.0,1,0,2,1,1,0,True,1
163141,103113,1510231199873.0,13108494,71,48,204,66,71.1889652786441,48.03917120780546,0.9554196326783808,0.4202493954228838,72.0,48.0,1,0,2,1,1,0,True,1
163153,103114,1510231199972.0,13108494,72,48,204,67,72.13905050414398,48.45310515398198,0.932773975644859,0.4092936712703181,74.0,49.0,1,1,2,0,2,1,False,5
163163,103115,1510231200072.0,13108494,74,49,204,68,73.05450411146728,48.8481100689892,0.905949531395482,0.390790255121454,75.0,49.0,1,0,2,1,1,0,True,1
163165,103116,1510231200171.0,13108494,75,49,204,69,73.92518087600584,49.27632068439486,0.8798571577028922,0.3625192052799297,75.0,49.0,0,0,1,1,0,0,True,0
163173,103117,1510231200270.0,13108494,75,49,204,70,74.74338765613855,49.56839441457878,0.86552849867536,0.3270326786121981,75.0,50.0,0,1,1,0,0,1,True,2
163185,103118,1510231200369.0,13108494,75,50,204,71,75.68079485827873,49.88502413973543,0.865657892935489,0.2843644148644837,76.0,50.0,1,0,2,1,1,0,True,1
163194,103119,1510231200469.0,13108494,76,50,204,72,76.52137994755762,50.13657946698901,0.8832090876189755,0.2407997179079458,77.0,51.0,1,1,2,0,1,1,True,5
163201,103120,1510231200568.0,13108494,77,51,204,73,77.45766642132439,50.39871985599794,0.9076264462605356,0.2066213863410891,78.0,51.0,1,0,2,1,1,0,True,1
163207,103121,1510231200667.0,13108494,78,51,204,74,78.3804360108261,50.57228680958416,0.9364071278483728,0.1891953400898034,79.0,52.0,1,1,2,0,1,1,True,5
163212,103122,1510231200766.0,13108494,79,52,204,75,79.30067717443954,50.81653508258822,0.963047798028797,0.1964546728581425,81.0,50.0,1,-1,2,2,2,2,False,8
163223,103123,1510231200899.0,13108494,81,50,204,76,80.18087493737771,51.02106245357133,0.9753512385334024,0.234671133308704,82.0,51.0,1,1,2,0,1,1,True,5
163229,103124,1510231200998.0,13108494,82,51,204,77,81.1326069102418,51.24091689194295,0.9744956594093346,0.3016024444488374,82.0,51.0,0,0,1,1,0,0,True,0
163234,103125,1510231201097.0,13108494,82,51,204,78,82.17987191236425,51.527908444185485,0.962130141598622,0.3833438811135908,83.0,52.0,1,1,2,0,1,1,True,5
163244,103126,1510231201197.0,13108494,83,52,204,79,83.2736929659475,51.91862503810746,0.942507578451119,0.469736679664145,84.0,52.0,1,0,2,1,1,0,True,1
163245,103127,1510231201296.0,13108494,84,52,204,80,84.20244390336745,52.394692631748896,0.917502368131386,0.5528516214801011,85.0,53.0,1,1,2,0,1,1,True,5
163254,103128,1510231201395.0,13108494,85,53,204,81,85.10286050988837,53.0560768799362,0.8923531162323379,0.6183192266240344,86.0,54.0,1,1,2,0,1,1,True,5
163263,103129,1510231201494.0,13108494,86,54,204,82,85.94090314367665,53.76797607831625,0.8705598758546471,0.6538673762475818,87.0,55.0,1,1,2,0,1,1,True,5
163270,103130,1510231201593.0,13108494,87,55,204,83,86.69048403225366,54.43722346317878,0.854615160812511,0.6569520634943261,87.0,55.0,0,0,1,1,0,0,True,0
163275,103131,1510231201693.0,13108494,87,55,204,84,87.47898322026901,55.11978694500908,0.8481860868782745,0.6325948084586227,89.0,56.0,1,1,2,0,2,1,False,5
163282,103132,1510231201792.0,13108494,89,56,204,85,88.35656182040894,55.724675259492095,0.8540981492602666,0.587450319663876,89.0,56.0,0,0,1,1,0,0,True,0
163292,103133,1510231201891.0,13108494,89,56,204,86,89.3172186246688,56.27923592808565,0.8713530647670293,0.5344551186822687,90.0,57.0,1,1,2,0,1,1,True,5
163300,103134,1510231201990.0,13108494,90,57,204,87,90.18729357392203,56.80156294730809,0.8923059884782372,0.4842745149360724,91.0,57.0,1,0,2,1,1,0,True,1
163301,103135,1510231202090.0,13108494,91,57,204,88,91.14755445186834,57.20180655231749,0.9118472361534224,0.4450610628529218,92.0,58.0,1,1,2,0,1,1,True,5
163310,103136,1510231202189.0,13108494,92,58,204,89,92.06994232686108,57.544256212089394,0.9196757636040942,0.4204193947551727,93.0,58.0,1,0,2,1,1,0,True,1
